ParticipantName,player_id,TeamName,MinutesPlayed,MatchesPlayed,Top_scorer,Top_scorer_subtitle,Assists,Assists_subtitle,Goals_+_Assists,Goals_+_Assists_subtitle,FotMob_rating,FotMob_rating_subtitle,Goals_per_90,Goals_per_90_subtitle,Expected_goals_(xG),Expected_goals_(xG)_subtitle,Expected_goals_(xG)_per_90,Expected_goals_(xG)_per_90_subtitle,Expected_goals_on_target_(xGOT),Expected_goals_on_target_(xGOT)_subtitle,Shots_on_target_per_90,Shots_on_target_per_90_subtitle,Shots_per_90,Shots_per_90_subtitle,Accurate_passes_per_90,Accurate_passes_per_90_subtitle,Big_chances_created,Big_chances_created_subtitle,Chances_created,Chances_created_subtitle,Accurate_long_balls_per_90,Accurate_long_balls_per_90_subtitle,Expected_assist_(xA),Expected_assist_(xA)_subtitle,Expected_assist_(xA)_per_90,Expected_assist_(xA)_per_90_subtitle,xG_+_xA_per_90,xG_+_xA_per_90_subtitle,Successful_dribbles_per_90,Successful_dribbles_per_90_subtitle,Big_chances_missed,Big_chances_missed_subtitle,Penalties_won,Penalties_won_subtitle,Successful_tackles_per_90,Successful_tackles_per_90_subtitle,Interceptions_per_90,Interceptions_per_90_subtitle,Clearances_per_90,Clearances_per_90_subtitle,Blocks_per_90,Blocks_per_90_subtitle,Penalties_conceded,Penalties_conceded_subtitle,Possession_won_final_3rd_per_90,Possession_won_final_3rd_per_90_subtitle,Clean_sheets,Clean_sheets_subtitle,Save_percentage,Save_percentage_subtitle,Saves_per_90,Saves_per_90_subtitle,Goals_prevented,Goals_prevented_subtitle,Goals_conceded_per_90,Goals_conceded_per_90_subtitle,Fouls_committed_per_90,Fouls_committed_per_90_subtitle,Yellow_cards,Yellow_cards_subtitle,Red_cards,Red_cards_subtitle
Ashley Young,23354,NA,0,0,0,0,0,0,0,0,6.67,0,0,0,0.6,0,0.02,0,0.3,0,0.1,15.4,0.5,0,22.1,72.4,2,0,21,0.8,1.9,32.4,1.4,0,0.06,0,0.08,0,0.5,50,0,0,1,0.9,1.5,71.7,0.9,22,1.8,45,0.2,6,1,31,0.4,1.9,0,0,0,0,0,0,0,0,0,0,1.3,5,5,1,1,5
Lukasz Fabianski,30973,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,37234,NA,0,0,0,0,1,2,1,2.8,6.29,0,0,0,0.8,0,0.09,0,0.4,0,0.2,18.2,1.2,0,47.8,90,2,1,15,1.6,0.3,60,2,1,0.21,0.1,0.3,0.11,0.3,25,0,0,0,0,0.3,37.5,0.3,3,0.1,1,0.1,1,0,0,0.4,1.1,0,0,0,0,0,0,0,0,0,0,0.9,2,2,0,0,0
James Milner,38807,NA,0,0,0,0,2,1.7,2,2,0,0,0,0,0.3,0,0,0,0.2,0,0,0,0,0,0,0,2,2,16,1.9,0,0,1.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Jonny Evans,43248,NA,0,0,0,0,1,0.3,1,0.7,6.85,0,0,0,0.4,0,0.03,0,0.7,0,0,0,0.1,0,46.8,87.9,1,1,6,0.4,1.1,32.1,0.3,1,0.02,0.1,0.04,0.06,0.3,66.7,0,0,0,0,0.9,63.6,1.5,23,4.8,74,1.2,18,0,0,0.1,1.4,0,0,0,0,0,0,0,0,0,0,1.1,2,2,0,0,0
Jack Cork,46008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Ogbonna,49543,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mathias Jørgensen,71908,Brentford,1086,14,1,0,0,0,1,1.2,0,0,0,0,0.7,1,0,0,0.9,1,0,0,0,0,0,0,2,0,7,0.6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Martin Dubravka,72241,NA,0,0,0,0,0,0,0,0,6.61,1,0,0,0,0,0,0,0,0,0,0,0,0,17.2,74.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,16,0,0,2,23,0,0,4,42,67.7,42,4,88,0.6,42,1.9,42,0.1,1,1,0,0,0
Seamus Coleman,77690,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.4,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Silva,80562,Chelsea,2527,31,3,0,1,0.6,4,1.4,7.01,0,0.11,3,0.8,3,0.03,0.11,1.1,3,0.1,28.6,0.5,21.4,77,94.9,3,1,9,0.3,3.4,65.8,0.6,1,0.02,0,0.05,0.14,0.1,100,0,0,0,0,0.5,51.7,0.9,26,5.3,150,0.9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4,4,0,0,0
Willian,94086,Fulham,2054,31,4,2,2,4.5,6,9.6,6.99,2,0.18,4,5.1,4,0.23,0.18,6.1,4,0.8,40,2,8.9,39.7,85.5,6,2,44,1.9,2.6,81.1,4.5,2,0.2,0.1,0.42,0.26,1.3,53.7,3,8.9,0,0,0.5,61.1,0.4,9,0.4,10,0,0,0,0,0.5,2.1,0,0,0,0,0,0,0,0,0,0,0.4,1,1,0,0,0
John Fleck,97194,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jason Steele,107917,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Rodriguez,109491,Burnley,813,21,2,1,1,0.1,3,3.6,0,0,0.22,2,3.5,2,0.39,0.22,3.2,2,0.9,36.4,2.4,9.1,15.7,66,0,0,4,0.4,0.7,24,0.1,1,0.01,0.1,0.4,0.33,0.7,66.7,6,9.1,0,0,1,64.3,0.1,1,0.8,7,0.1,1,0,0,0.3,2.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
James Tomkins,109897,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Basham,113772,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
